"","Страна/Регион","Широта","Долгота","Сумма заболевших"
"1","Afghanistan",33.93911,67.709953,209451
"2","Albania",41.1533,20.1683,334457
"3","Algeria",28.0339,1.6596,271496
"4","Andorra",42.5063,1.5218,47890
"5","Angola",-11.2027,17.8739,105288
"6","Antarctica",-71.9499,23.347,11
"7","Antigua and Barbuda",17.0608,-61.7964,9106
"8","Argentina",-38.4161,-63.6167,10044957
"9","Armenia",40.0691,45.0382,447308
"10","Australia",-32.106275,141.3554875,11399460
"11","Austria",47.5162,14.5501,5961143
"12","Azerbaijan",40.1431,47.5769,828825
"13","Bahamas",25.025885,-78.035889,37491
"14","Bahrain",26.0275,50.55,710693
"15","Bangladesh",23.685,90.3563,2037871
"16","Barbados",13.1939,-59.5432,106798
"17","Belarus",53.7098,27.9534,994037
"18","Belgium",50.8333,4.469936,4739365
"19","Belize",17.1899,-88.4976,70757
"20","Benin",9.3077,2.3158,27999
"21","Bhutan",27.5142,90.4336,62627
"22","Bolivia",-16.2902,-63.5887,1194277
"23","Bosnia and Herzegovina",43.9159,17.6791,401729
"24","Botswana",-22.3285,24.6849,329758
"25","Brazil",-14.235,-51.9253,37076053
"26","Brunei",4.5353,114.7277,279661
"27","Bulgaria",42.7339,25.4858,1297523
"28","Burkina Faso",12.2383,-1.5616,22056
"29","Burma",21.9162,95.956,633950
"30","Burundi",-3.3731,29.9189,53631
"31","Cabo Verde",16.5388,-23.0418,63244
"32","Cambodia",11.55,104.9167,138719
"33","Cameroon",3.848,11.5021,124392
"34","Canada",NA,NA,4617095
"35","Central African Republic",6.6111,20.9394,15368
"36","Chad",15.4542,18.7322,7679
"37","Chile",-35.6751,-71.543,5192286
"38","China",NA,NA,4903524
"39","Colombia",4.5709,-74.2973,6359093
"40","Comoros",-11.6455,43.3333,9008
"41","Congo (Brazzaville)",-0.228,15.8277,25087
"42","Congo (Kinshasa)",-4.0383,21.7587,95749
"43","Costa Rica",9.7489,-83.7534,1209725
"44","Cote d'Ivoire",7.54,-5.5471,88263
"45","Croatia",45.1,15.2,1269326
"46","Cuba",21.521757,-77.781167,1112643
"47","Cyprus",35.1264,33.4299,650685
